Articul;Naimenovanie;Edinica_izmereniya;Dlina_M;Kolichestvo;Tip_materiala;Cena;Gost
Б1;Брус обрезной, 100х150х6000 мм, 1 сорт;шт;6;;Брус;800 ;
Б2;Брус обрезной, 100х200х6000 мм, 1 сорт;шт;6;;Брус;1080 ;
Б3;Брус обрезной, 150х150х6000 мм, 1 сорт;шт;6;;Брус;1200 ;
Б4;Брус обрезной, 150х200х6000 мм, 1 сорт;шт;6;;Брус;1700 ;
Б5;Брус обрезной, 100x100x6000 мм, 1 сорт;шт;6;;Брус;530 ;
Б6;Брус обрезной, 100х100х6000 мм, 2 сорт;шт;6;;Брус;390 ;
Б7;Брусок обрезной, 50x50x6000 мм;шт;6;;Брус;130 ;
Б8;Брусок обрезной, 50x50x3000 мм;шт;3;;Брус;70 ;
Б9;Брусок обрезной, 40x50x3000 мм;шт;3;;Брус;60 ;
Б10;Брусок обрезной, 30x50x3000 мм;шт;3;;Брус;50 ;
Б11;Брусок обрезной, 25x50x3000 мм;шт;3;;Брус;35 ;
Б12;Брусок строганный, 45х45х3000 мм;шт;3;;Брус;130 ;
В13;Вагонка, 14х90х6000 мм, класс АВ;шт;6;;Вагонка;120 ;
В14;Вагонка, 14х90х5000 мм, класс АВ;шт;5;;Вагонка;102 ;
В15;Вагонка, 14х90х4000 мм, класс АВ;шт;4;;Вагонка;82 ;
В16;Вагонка, 14х90х3000 мм, класс АВ;шт;3;;Вагонка;65 ;
В17;Вагонка, 14х90х2500 мм, класс АВ;шт;2,5;;Вагонка;60 ;
В18;Вагонка, 14х90х2000 мм, класс АВ;шт;2;;Вагонка;48 ;
Д19;Доска обрезная, 25х100х6000 мм, 1 сорт;шт;6;;Доска;130 ;
Д20;Доска обрезная, 25х150х6000 мм, 1 сорт;шт;6;;Доска;200 ;
Д21;Доска обрезная, 30х150х6000 мм, 1 сорт;шт;6;;Доска;270 ;
Д22;Доска обрезная, 40х150х6000 мм, 1 сорт;шт;6;;Доска;330 ;
Д23;Доска обрезная, 40х200х6000 мм, 1 сорт;шт;6;;Доска;440 ;
Д24;Доска обрезная, 50х100х6000 мм, 1 сорт;шт;6;;Доска;280 ;
Д25;Доска обрезная, 50х150х6000 мм, 1 сорт;шт;6;;Доска;400 ;
Д26;Доска обрезная, 50х200х6000 мм, 1 сорт;шт;6;;Доска;530 ;
Д27;Доска обрезная, 25х100х6000 мм, 2 сорт;шт;6;;Доска;100 ;
Д28;Доска обрезная, 25х150х6000 мм, 2 сорт;шт;6;;Доска;115 ;
